category,price,area,rooms,baths,garages,stratification,latitude,longitude,management_fee
-1,980000000,428,4,4,4,5,4.71491787,-74.06824137,0
-1,1100000000,426,4,5,4,4,4.626340866088867,-74.07840728759766,100000
1,5200000000,425,4,4,5,6,4.65893507003784,-74.0528182983398,0
-1,1850000000,425,4,5,2,6,4.714232921600342,-74.07748413085938,1050000
-1,1580000000,423,5,5,2,4,4.626012325286865,-74.07063293457031,100000
-1,2200000000,420,1,5,4,5,4.69821105,-74.03923407,0
-1,1050000000,420,7,5,3,5,4.7231125831604,-74.0437164306641,0
-1,1600000000,420,5,5,1,3,4.655981,-74.07488,0
-1,2472000000,416,5,5,4,6,4.691869258880615,-74.05523681640625,111111
-1,2400000000,416,3,3,4,6,4.6924865,-74.05500806,0
-1,1000000000,416,5,5,3,3,4.6238555908203125,-74.07775115966797,0
-1,3200000000,415,4,5,0,6,4.72324177,-74.02335865,380000
1,2200000000,413,4,5,2,6,4.71092143,-74.02803214,1300000
-1,1275000000,406,3,3,2,5,4.7008738,-74.05687207,150000
-1,978500000,400,5,5,0,3,4.642084121704102,-74.06666564941406,111111
-1,1980000000,400,9,8,1,1,4.65043497085571,-74.0565567016602,0
-1,1290000000,400,4,3,4,4,4.724724,-74.046555,0
-1,1980500000,400,5,5,2,4,4.65051837,-74.05656247,0
-1,2100000000,400,4,5,4,5,4.766974449157715,-74.06596374511719,800000
-1,950000000,400,5,5,1,3,4.59997617,-74.10621591,0
-1,950000000,400,12,10,0,2,4.7088680267334,-74.1292419433594,0
1,2000000000,400,4,5,7,6,4.69409894943237,-74.0469055175781,1450000
-1,1980000000,400,5,5,2,4,4.65051837,-74.05656247,0
-1,1000000000,400,3,3,2,4,4.7367288,-74.04193533,0
-1,1980000000,400,5,5,2,4,4.65051837,-74.05656247,0
-1,1980000000,400,5,5,1,1,4.65051837,-74.05656247,0
-1,1250000000,400,4,2,0,4,4.72467994689941,-74.0464324951172,0
-1,1980500000,400,5,5,2,4,4.65051837,-74.05656247,0
-1,1390000000,400,4,4,3,5,4.765439033508301,-74.06434631347656,550000
1,2300000000,400,3,4,2,6,4.65976263,-74.05018359,1063000
1,2400000000,400,5,5,4,6,4.69519281387329,-74.0490188598633,1117000
1,3000000000,400,4,4,2,6,4.65645885467529,-74.0473785400391,2000000
-1,1390000000,400,4,4,4,5,4.763277530670166,-74.0614242553711,550000
-1,1300000000,399,4,3,4,5,4.710793495178223,-74.07749938964844,0
-1,2500000000,399,5,4,2,5,4.64902826,-74.08389159,0
-1,1500000000,398,4,5,4,5,4.7050042152404785,-74.06320190429688,322000
1,4600000000,392,4,5,0,6,4.67539596557617,-74.0441741943359,2200000
1,4600000000,392,5,5,0,6,4.67539596557617,-74.0441741943359,2100000
1,2500000000,392,4,6,4,6,4.71680736541748,-74.0267868041992,1900000
-1,860000000,390,5,3,3,4,4.64504076,-74.07334916,0
1,1680000000,386,3,4,3,6,4.72491212,-74.02328559,1100000
-1,1200000000,386,4,5,2,5,4.72122287750244,-74.0459289550781,0
-1,1300000000,385,4,6,4,5,4.71227645874023,-74.0746307373047,0
-1,900000000,383,8,4,2,5,4.646240234375,-74.0917510986328,0
-1,850000000,381,5,5,0,3,4.588231563568115,-74.10652923583984,0
-1,780000000,381,5,5,2,3,4.60355559,-74.10128016,0
-1,980000000,380,4,4,4,6,4.7321674,-74.07796976,750000
1,2600000000,380,4,5,0,6,4.67807006835938,-74.0417404174805,2000000
1,1080000000,380,5,5,1,3,4.6794305,-74.11345,0
-1,1100000000,380,0,0,0,4,4.65384340286255,-74.0619430541992,0
-1,1200000000,380,5,6,2,6,4.69486427307129,-74.0413284301758,0
-1,2700000000,380,3,4,3,6,4.684999465942383,-74.03121185302734,360000
-1,990000000,376,7,4,3,5,4.69765424728394,-74.0581741333008,0
1,2300000000,374,4,3,5,6,4.66949510574341,-74.0430068969727,1623000
-1,1600000000,370,3,5,0,6,4.72175025939941,-74.0812530517578,0
1,2799900000,370,4,6,5,6,4.71672439575195,-74.0272064208984,1700000
-1,5000000000,368,3,4,3,6,4.6849846839904785,-74.03148651123047,2330000
-1,2100000000,366,5,5,2,4,4.638438701629639,-74.06158447265625,0
-1,1280000000,366,1,5,2,5,4.70294731,-74.05529859,0
-1,950000000,364,4,4,3,5,4.7081146240234375,-74.07356262207031,150000
1,1500000000,361,3,5,0,6,4.69770884,-74.05404766,1300000
-1,1650000000,360,4,4,2,6,4.769290924072266,-74.06132507324219,1050000
-1,1650000000,360,4,5,4,5,4.770711421966553,-74.06318664550781,1050000
-1,980000000,360,10,7,2,4,4.64563703536987,-74.0693969726563,0
-1,1750000000,360,4,4,4,5,4.769290924072266,-74.06132507324219,1050000
-1,1750000000,360,4,4,0,5,4.76929071,-74.06132885,1050000
-1,3350000000,360,3,4,3,6,4.6849846839904785,-74.03148651123047,350000
1,1650000000,360,5,5,4,6,4.70952639,-74.08207622,1010000
-1,1150000000,356,4,5,3,5,4.72553539276123,-74.0644607543945,240750
1,1850000000,354,3,3,3,6,4.70993156,-74.02791892,0
-1,800000000,353,5,2,1,5,4.59986162185669,-74.0962066650391,0
1,2799999900,353,3,5,4,6,4.71550559997559,-74.0243377685547,1650000
-1,1150000000,350,5,0,2,4,4.66693336,-74.11619387,0
-1,1500000000,350,3,3,2,4,4.733448028564453,-74.07656860351562,0
-1,1495000000,350,3,5,2,5,4.72387978,-74.02151271,0
-1,1350000000,350,4,5,4,5,4.761270523071289,-74.0630874633789,900000
1,3600000000,350,4,5,4,6,4.666783809661865,-74.04546356201172,1400000
1,1600000000,350,4,4,2,6,4.69869024,-74.02889852,700000
-1,850000000,350,5,5,2,3,4.64201211929321,-74.1436157226563,50000
-1,844900000,350,5,4,4,5,4.70191526412964,-74.0784530639648,0
-1,950000000,350,3,3,0,3,4.62655973434448,-74.1407089233398,50000
-1,849999000,350,5,4,4,5,4.70191526412964,-74.0784530639648,0
-1,1150000000,350,4,4,0,6,4.5827609,-74.08141201,550000
-1,2500000000,350,5,5,4,5,4.686836242675781,-74.03607177734375,40000
-1,4200000000,349,4,5,3,6,4.69922966,-74.0458028,0
-1,1800000000,347,4,4,4,6,4.71657852,-74.07949373,770000
-1,1200000000,346,4,4,0,5,4.696120262145996,-74.06885528564453,0
-1,1200000000,346,4,4,0,5,4.696120262145996,-74.06885528564453,0
1,4500000000,345,3,5,4,6,4.675411224365234,-74.04469299316406,1800000
1,2600000000,343,3,4,5,6,4.70421028137207,-74.053840637207,1900000
-1,3300000000,340,2,5,4,6,4.66439091,-74.0482893,0
1,1920000000,340,4,5,4,6,4.716723442077637,-74.0265121459961,1688000
-1,1350000000,340,5,4,4,6,4.696376323699951,-74.03832244873047,0
-1,1200000000,340,5,0,2,6,4.6950318,-74.04200082,0
-1,1350000000,340,5,4,4,6,4.696380138397217,-74.03846740722656,0
-1,1700000000,339,4,5,3,6,4.7247375,-74.02430511,1150000
1,2700000000,338,4,5,4,6,4.71688878,-74.02314143,2200000
-1,1500000000,337,5,4,3,5,4.699400424957275,-74.05962371826172,0
1,3200000000,336,3,5,3,6,4.650812149047852,-74.05156707763672,1500000
1,3100000000,335,3,5,4,6,4.65070104598999,-74.0515518188477,1500000
-1,1950000000,332,4,4,2,6,4.6998427,-74.03902732,85000
-1,1100000000,331,4,5,3,5,4.69965124130249,-74.06041717529297,0
-1,1100000000,331,4,5,3,5,4.69964599609375,-74.06038665771484,0
-1,1100000000,331,5,3,1,5,4.69964599609375,-74.06038665771484,0
-1,1050000000,331,5,5,2,3,4.631742,-74.081436,0
-1,980000000,330,8,6,4,4,4.64914464950562,-74.0799942016602,0
-1,1200000000,330,5,5,2,3,4.631939888000488,-74.13068389892578,0
-1,1500000000,330,4,4,4,5,4.69949892,-74.03642451,0
-1,1450000000,330,4,4,4,5,4.708791255950928,-74.07518005371094,80000
1,1900000000,329,3,5,0,6,4.65385007858276,-74.0501708984375,1500000
-1,1203800000,328,5,5,2,5,4.69807779,-74.06037444,0
-1,1020000000,323,4,3,5,5,4.70295238494873,-74.0632553100586,245
1,2750000000,323,4,4,3,6,4.6856227,-74.02771962,1450000
1,1700000000,323,4,5,0,5,4.66077899932861,-74.1145401000977,916000
1,3650000000,322,3,4,3,5,4.658172130584717,-74.05445098876953,1600000
-1,1200000000,320,5,4,3,4,4.6256004,-74.07258981,0
-1,1500000000,320,3,3,0,6,4.7514341,-74.07382933,200000
1,1500000000,320,4,4,3,6,4.72611052,-74.07527286,1000000
-1,1500000000,320,5,4,2,5,4.69860898,-74.0672507,0
-1,940000000,320,5,5,3,5,4.7123566,-74.066124,260000
1,1900000000,320,4,4,3,6,4.65325025,-74.0518779,1100000
-1,1250000000,320,4,5,3,5,4.7139387130737305,-74.059326171875,100000
-1,1700000000,320,4,5,3,5,4.708245277404785,-74.04882049560547,0
1,1500000000,320,4,4,3,6,4.72611052,-74.07527286,1000000
1,2100000000,320,3,4,4,6,4.71688878,-74.02314143,1801000
-1,1200500000,320,5,4,3,4,4.6256004,-74.07258981,0
1,2250000000,320,4,5,4,6,4.692781925201416,-74.0533447265625,1476000
-1,1500000000,320,3,3,0,6,4.7514341,-74.07382933,0
1,2250000000,320,5,5,0,6,4.73725366592407,-74.0765838623047,600000
-1,980000000,319,4,4,3,3,4.72212546,-74.05734757,0
1,2950000000,319,4,5,5,6,4.69066476821899,-74.0290222167969,2000000
-1,900000000,319,10,6,0,3,4.71708393096924,-74.0575866699219,0
-1,1000000000,317,5,4,4,5,4.7012152671813965,-74.06710052490234,0
1,2100000000,315,3,4,3,6,4.71661615371704,-74.0254821777344,1700000
-1,780000000,313,4,4,1,4,4.646307945251465,-74.07381439208984,0
-1,1400000000,313,5,5,4,5,4.69662849,-74.05892768,0
1,2300000000,312,3,4,4,6,4.65253334,-74.05113279,2115000
-1,2300000000,311,4,4,4,6,4.703151226043701,-74.03694915771484,450000
-1,1200000000,310,4,4,2,6,4.705252170562744,-74.03652954101562,0
-1,630000000,308,4,4,2,3,4.583436012268066,-74.09752655029297,0
-1,630000000,308,5,5,4,3,4.582710266113281,-74.09782409667969,10000
1,2200000000,308,3,4,3,6,4.65972328186035,-74.0477447509766,1125000
1,1350000000,307,4,5,2,6,4.67989873886108,-74.0512847900391,1200000
1,3400000000,307,3,4,3,6,4.70786905288696,-74.0423583984375,800000
-1,1200000000,305,4,5,4,5,4.686659336090088,-74.08853149414062,700000
-1,1300000000,305,4,5,4,5,4.71079345,-74.07749822,120000
-1,2380000000,305,3,4,4,6,4.72031497955322,-74.0786590576172,1480000
-1,1300000000,305,4,5,4,5,4.71079345,-74.07749822,120000
-1,1300500000,305,4,5,4,5,4.71079345,-74.07749822,120000
-1,1300500000,305,4,5,4,5,4.71079345,-74.07749822,120000
-1,2380000000,305,3,4,4,6,4.720201015472412,-74.07901000976562,1480000
-1,1800000000,304,5,4,4,5,4.700781345367432,-74.02915954589844,10000
-1,1300000000,303,3,3,2,5,4.702233791351318,-74.05416870117188,0
1,2900000000,303,4,5,4,6,4.678097724914551,-74.04171752929688,1700000
-1,850000000,302,5,5,1,3,4.667629718780518,-74.14775848388672,0
1,1500000000,302,4,5,2,6,4.66347582,-74.04606687,0
-1,1150000000,302,5,5,0,5,4.70770025253296,-74.0762634277344,0
1,1900000000,301,3,3,3,6,4.65988302,-74.04900169,1400000
1,1900000000,301,3,5,3,6,4.661698,-74.049095,1400000
1,1900000000,301,3,5,3,6,4.659531593322754,-74.0512466430664,1400000
-1,900000000,300,3,4,2,4,4.716583728790283,-74.0687484741211,165000
-1,1000000000,300,4,4,4,4,4.72528039,-74.0287935,160000
-1,750000000,300,5,5,3,3,4.6400127,-74.13911,0
1,1600000000,300,4,5,4,6,4.72304342,-74.02279592,1000000
1,1250000000,300,6,5,3,6,4.69918870925903,-74.040641784668,854100
-1,850000000,300,5,5,2,4,4.64583946,-74.06848144,0
-1,960000000,300,5,4,1,4,4.63439852,-74.0754226,0
-1,1500000000,300,4,5,4,5,4.71961952,-74.0298269,320000
-1,900000000,300,9,4,2,3,4.63136005401611,-74.1364364624023,0
-1,1050000000,300,4,5,4,5,4.70026783,-74.08084079,164000
-1,1200000000,300,3,4,4,5,4.769347667694092,-74.07254791259766,870000
-1,679000000,300,5,5,2,4,4.642768859863281,-74.09014892578125,0
-1,1800000000,300,4,4,0,5,4.76564153,-74.06217852,400000
-1,1150000000,300,3,4,2,5,4.69130277633667,-74.0705795288086,60000
-1,960000000,300,5,4,1,4,4.63439852,-74.0754226,0
-1,1100000036,300,5,5,0,3,4.691513538360596,-74.10548400878906,0
-1,1300000000,300,5,6,0,4,4.63489627838135,-74.0949020385742,0
1,2750000000,300,3,5,4,6,4.685895919799805,-74.02918243408203,1400000
-1,620000000,300,8,6,3,3,4.64797019958496,-74.0670394897461,0
-1,1500000000,300,3,3,4,3,4.751434326171875,-74.0738296508789,0
1,2200000000,300,3,5,3,6,4.70616054534912,-74.0429611206055,1300000
-1,960500000,300,5,4,1,4,4.63439852,-74.0754226,0
1,1950000000,300,3,4,3,6,4.64816093444824,-74.0482788085938,1130000
1,1600000000,300,3,4,4,5,4.72361040115356,-74.0234756469727,1100000
1,3200000000,300,3,4,2,6,4.654139518737793,-74.0494613647461,2400000
-1,900000000,300,9,4,2,3,4.63136005401611,-74.1364364624023,0
-1,2500000000,299,4,4,2,6,4.68697812,-74.046908,0
-1,670000000,298,4,5,1,4,4.75121042,-74.04324036,0
-1,1200000000,297,3,3,2,5,4.720517635345459,-74.0451431274414,11000
1,1600000000,294,4,4,3,6,4.72715329,-74.07574054,1100000
1,2300000000,293,3,5,3,6,4.70967618,-74.02530387,1700000
-1,900000000,293,3,3,0,2,4.623431205749512,-74.13240814208984,0
-1,2200000000,290,2,2,0,4,4.65820287,-74.0549989,0
-1,1300000000,290,4,3,2,4,4.64942463,-74.06781527,0
1,1800000000,290,3,5,3,6,4.67713806,-74.0407256,1400000
1,1890000000,290,3,4,3,6,4.655663013458252,-74.04764556884766,900000
-1,2400000000,290,4,5,0,6,4.65820287,-74.0549989,0
-1,980000000,288,4,4,3,4,4.666785717010498,-74.1099853515625,0
-1,780000000,287,6,5,2,5,4.7105598449707,-74.0660018920898,230000
-1,1480000000,287,3,4,2,6,4.69579484,-74.03525559,0
-1,1100000000,287,4,3,3,5,4.72698926925659,-74.06982421875,350
1,1200000000,287,3,4,3,6,4.712380886077881,-74.08221435546875,900000
-1,850000000,286,5,5,4,5,4.7019853591918945,-74.0778579711914,100000
-1,1250000000,286,3,4,4,5,4.71708559,-74.04192484,200000
-1,680000000,285,4,4,2,4,4.66776132583618,-74.116340637207,0
-1,680000000,285,4,4,2,4,4.66768359,-74.1163237,0
-1,750000000,284,5,4,0,5,4.70163011550903,-74.0779724121094,0
1,2850000000,283,2,4,3,6,4.6509485,-74.04842,1160000
1,2000000000,283,3,4,3,6,4.70643239,-74.04267968,1132000
-1,1250000000,282,3,5,4,6,4.73486207,-74.07409779,831000
1,1350000000,281,3,4,3,6,4.71564722061157,-74.0284042358398,1520000
1,1650500000,281,4,3,3,6,4.67896077,-74.03956388,1300000
-1,1600000000,280,4,3,4,6,4.70499835,-74.04078028,100000
-1,700000000,280,5,5,3,5,4.70057582855225,-74.0788040161133,50000
1,1600000000,280,4,3,0,6,4.67910003662109,-74.0391235351563,1500000
1,2350000000,280,3,5,3,6,4.666352272033691,-74.05038452148438,1590000
1,1200000000,280,4,4,0,6,4.67369651794434,-74.0518035888672,0
-1,750000000,280,1,3,2,4,4.63367336,-74.14615063,0
-1,880000000,280,5,5,4,5,4.707055,-74.076256,0
-1,900000000,280,4,5,2,5,4.69735956192017,-74.078483581543,50000
-1,1300000000,280,5,3,0,4,4.66726152,-74.12074929,0
-1,750000000,280,4,3,5,4,4.70584011077881,-74.1255874633789,0
-1,689900000,280,4,4,2,4,4.7238245010376,-74.033561706543,0
1,1200000000,280,4,4,0,6,4.67378234863281,-74.0517120361328,0
1,1200000000,280,4,4,0,6,4.67326879501343,-74.0518035888672,0
-1,620000000,279,3,3,0,3,4.70853781,-74.09964267,0
-1,795000000,277,3,3,4,6,4.70742416381836,-74.0483856201172,0
1,1350000000,277,4,5,4,6,4.72454166412354,-74.0246429443359,1075000
-1,1200000000,275,4,4,0,5,4.72656154632568,-74.0636444091797,0
-1,1000000000,275,4,3,3,5,4.725265026092529,-74.06356811523438,0
-1,1400000000,275,4,5,0,5,4.76343253,-74.05796714,450000
-1,1300000000,275,3,5,0,5,4.71834993362427,-74.0461349487305,0
-1,1250000000,274,4,6,4,5,4.76255655288696,-74.0580520629883,500000
-1,1250500000,274,4,5,4,5,4.76248812,-74.05821384,500000
-1,550000000,274,5,2,0,3,4.6256714,-74.13764,0
-1,1250000000,274,4,5,4,5,4.76248812,-74.05821384,500000
-1,850000000,274,5,5,3,4,4.7377142906188965,-74.03995513916016,0
1,1550000000,273,3,4,3,5,4.66176164,-74.11427301,890000
1,1500000000,273,3,5,2,6,4.73143720626831,-74.0275955200195,900000
1,1550000000,273,4,5,0,6,4.70811080932617,-74.0408248901367,801000
1,1800000000,273,3,5,3,6,4.718918323516846,-74.02751159667969,1340000
1,1970000000,273,4,5,4,5,4.70600243,-74.04359668,1200000
-1,1250000000,270,3,4,3,6,4.72057114,-74.08331616,850000
1,1600000000,270,3,4,3,6,4.70993156,-74.02791892,1150000
1,1300000000,270,3,3,2,6,4.66883659362793,-74.0401611328125,900000
-1,950000000,270,4,4,4,5,4.696229934692383,-74.06595611572266,0
-1,560000000,270,7,3,0,3,4.6001501083374,-74.0979537963867,0
1,1980000000,270,3,4,3,6,4.72037017,-74.02668973,1300000
1,1980000000,270,3,4,3,6,4.72028255462646,-74.0268478393555,1300000
-1,1300000000,270,3,4,3,5,4.719135761260986,-74.07561492919922,890000
1,1300000000,270,4,5,2,6,4.70471618,-74.04002364,1100000
-1,550000000,270,5,5,1,2,4.6021795,-74.185844,0
-1,1399000000,270,4,4,2,6,4.697498,-74.03761,0
-1,1999000000,270,3,4,3,6,4.72057114,-74.08331616,850000
1,1980500000,270,3,4,3,6,4.72037017,-74.02668973,1300000
1,1600000000,270,3,4,3,6,4.70993156,-74.02791892,1150000
-1,1275000000,270,3,5,0,6,4.69123315811157,-74.0049362182617,867000
1,1690000000,270,4,5,4,6,4.65684413909912,-74.047981262207,1350000
-1,13000000000,270,14,6,0,4,4.62655019760132,-74.0731201171875,0
-1,1250000000,270,4,5,3,5,4.6992974281311,-74.0796661376953,0
-1,890000000,270,1,3,4,4,4.67124635,-74.10260364,0
-1,1400000000,270,4,5,0,5,4.76343253,-74.05796714,450000
-1,1300000000,270,3,4,3,5,4.7190260887146,-74.07571411132812,890000
-1,990000000,268,3,3,2,5,4.70313716,-74.0591979,0
1,1750000000,268,4,4,3,6,4.71951532363892,-74.0268859863281,1234000
1,1800000000,268,3,4,3,6,4.718918323516846,-74.02751159667969,0
-1,660000000,268,4,4,2,4,4.73876142501831,-74.0452041625977,0
1,1800000000,268,3,4,3,6,4.7189182,-74.02751447,1380000
1,3461700000,267,3,3,4,6,4.65518276,-74.04992884,1204000
1,4480657830,267,3,5,3,6,4.6730809211731,-74.0437393188477,1869000
1,2800000000,267,4,5,2,5,4.67101716995239,-74.0512542724609,0
1,1870000000,267,3,4,3,6,4.671150207519531,-74.03982543945312,1700000
-1,1200000000,267,6,3,3,6,4.60931634902954,-74.0770492553711,0
-1,1400000000,266,4,5,4,6,4.760188102722168,-74.05988311767578,1100000
-1,1149000000,265,3,4,3,6,4.72688562,-74.02547385,708000
-1,780000000,265,3,3,2,4,4.67279564,-74.1112948,0
-1,1165000000,265,3,4,3,6,4.72688562,-74.02547385,708000
-1,1165000000,265,3,4,3,6,4.72688562,-74.02547385,708000
-1,1165000000,265,3,4,3,6,4.72688562,-74.02547385,708000
-1,700000000,265,5,4,1,3,4.595719337463379,-74.13356018066406,0
-1,600000000,265,4,4,2,3,4.73695468902588,-74.0843048095703,120000
1,1900000000,264,3,4,3,6,4.69953715,-74.02840406,870000
-1,1500000000,264,5,5,2,6,4.73769948,-74.0765475,620000
-1,550000000,264,5,5,1,2,4.7611870765686035,-74.03223419189453,1010101
1,1450000000,264,3,4,4,6,4.68858623504639,-74.0525360107422,981000
-1,980000000,263,3,3,2,6,4.7033471,-74.0643901,200000
-1,570000000,263,5,4,3,3,4.7002105712890625,-74.09169006347656,0
-1,1480000000,262,4,5,4,6,4.7132062911987305,-74.08089447021484,660000
1,1700000000,261,4,5,4,6,4.6897807121276855,-74.05320739746094,1500000
-1,750000000,261,4,4,0,5,4.71306991577148,-74.0682373046875,0
-1,680000000,261,4,3,2,4,4.59061479568481,-74.0785217285156,0
-1,770000000,260,4,3,0,3,4.59800023,-74.10064685,0
1,1800000000,260,4,5,3,6,4.76849508285522,-74.0264129638672,1300000
-1,560000000,260,4,4,2,5,4.73818397521973,-74.0473937988281,0
-1,594650000,260,10,5,0,4,4.71285438537598,-74.0592346191406,0
-1,594500000,260,10,5,0,4,4.71285438537598,-74.0592346191406,0
-1,680000000,260,5,4,2,4,4.649648666381836,-74.07160186767578,10000
-1,1700000000,260,4,0,0,5,4.69811007,-74.06143316,0
-1,670000000,260,5,4,2,4,4.649177551269531,-74.07136535644531,10000
1,1750000000,260,3,5,2,6,4.669070720672607,-74.0406723022461,1050000
-1,980000000,260,3,4,2,5,4.70499539,-74.06405768,322000
-1,775000000,260,3,4,3,6,4.792039394378662,-74.0584716796875,600000
